경도,위도,원격제어,관리기관1,관리기관2,보호대상구분,보호대상물,설치년도,시도,시군구,상세주소
128.34002019180932,38.58256418288943,불가능,동부지방산림청,양양관리소,DMZ,고황봉감시기지,2014,강원특별자치도,고성군,수동면 외면리 산2
128.3470324375714,38.54799076338717,불가능,동부지방산림청,양양관리소,DMZ,12소초,2014,강원특별자치도,고성군,현내면 검장리 산20
128.34293095042457,38.503345968976994,불가능,동부지방산림청,양양관리소,DMZ,사비리소초,2015,강원특별자치도,고성군,현내면 마달리 산1
128.35672761347143,38.60339231638122,불가능,동부지방산림청,양양관리소,DMZ,"717OP, 16소초",2016,강원특별자치도,고성군,현내면 송도진리 산1
129.29534490274645,37.23693485679578,불가능,동부지방산림청,삼척관리소,휴양림,검봉산자연휴양림,2019,강원특별자치도,삼척시,원덕읍 임원리 산1
128.99798,37.04715,불가능,남부지방산림청,영주관리소,모델숲,문화재목재림,2012,경상북도,봉화군,석포면 대현리 산13-1
129.2842,36.76249,불가능,남부지방산림청,영덕관리소,모델숲,문화재목재림,2012,경상북도,영양군,수비면 본신리 산24-1
129.21424,37.01932,불가능,남부지방산림청,울진관리소,모델숲,금강소나무생태관리센터,2012,경상북도,울진군,금강송면 소광리 산29
129.00076,35.6623,불가능,남부지방산림청,구미관리소,문화재,천문사,2013,경상북도,청도군,운문면 신원리 산29-6
129.03193,35.28424,가능,남부지방산림청,양산관리소,문화재,통도사,2013,경상남도,양산시,하북면 지산리 산83-1
129.36684,36.62512,불가능,남부지방산림청,영덕관리소,휴양림,칠보산자연휴양림,2019,경상북도,영덕군,병곡면 영리 산214
129.02473,35.64977,가능,남부지방산림청,구미관리소,휴양림,운문산자연휴양림,2020,경상북도,청도군,운문면 신원리 산29-6
127.63917839655338,35.457771587058346,불가능,서부지방산림청,함양관리소,모델숲,시범림,2012,경상남도,함양군,함양읍 죽림리 산364
127.81575142314648,35.90721635790749,불가능,서부지방산림청,무주관리소,휴양림,덕유산자연휴양림,2014,전북특별자치도,무주군,무풍면 구천동로 530-62
128.02452138329227,34.751780932585206,불가능,서부지방산림청,함양관리소,휴양림,남해편백자연휴양림,2015,경상남도,남해군,삼동면 금암로 658
127.04551,37.59661,불가능,국립산림과학원,,모델숲,시험림,2012,서울특별시,동대문구,회기로 57
