소방서 및 안전센터명,위도,경도,시도,시군구,상세주소,상위 본부명
강동소방서-길동-119 안전센터,37.5409802,127.1443628,서울특별시,강동구,천중로 215 (길동),서울소방재난본부
강동소방서-암사-119 안전센터,37.5539916,127.128655,서울특별시,강동구,올림픽로 815 (암사동),서울소방재난본부
강동소방서-강동_고덕-119 안전센터,37.5571873,127.152018,서울특별시,강동구,양재대로156길 133 (고덕동),서울소방재난본부
강동소방서-천호-119 안전센터,37.5386191,127.1313867,서울특별시,강동구,진황도로 37 (천호동),서울소방재난본부
강동소방서-성내-119 안전센터,37.5292678,127.1249082,서울특별시,강동구,성내로 39 (성내동),서울소방재난본부
양천소방서-신트리-119 안전센터,37.5105844,126.8479829,서울특별시,양천구,신정로 238 (신정동),서울소방재난본부
양천소방서-양천_신월-119 안전센터,37.5279103,126.8330352,서울특별시,양천구,남부순환로 448 (신월동),서울소방재난본부
양천소방서-목동-119 안전센터,37.5428174,126.8835562,서울특별시,양천구,안양천로 1139 (목동),서울소방재난본부
양천소방서-양천_신정-119 안전센터,37.521759,126.8509481,서울특별시,양천구,신월로 268 (신정동),서울소방재난본부
양천소방서-양천-119 안전센터,37.5302527,126.8723636,서울특별시,양천구,목동서로 180 (목동),서울소방재난본부
강서소방서_서울-개화-119 안전센터,37.5749702,126.8031364,서울특별시,강서구,개화동로19길 8 (개화동),서울소방재난본부
강서소방서_서울-방화-119 안전센터,37.5798064,126.8142928,서울특별시,강서구,금낭화로26길 10 (방화동),서울소방재난본부
강서소방서_서울-발산-119 안전센터,37.5552773,126.8368686,서울특별시,강서구,강서로 329 (내발산동),서울소방재난본부
강서소방서_서울-화곡-119 안전센터,37.5436499,126.8452334,서울특별시,강서구,까치산로 49 (화곡동),서울소방재난본부
강서소방서_서울-등촌-119 안전센터,37.5579833,126.860275,서울특별시,강서구,양천로 550 (등촌동),서울소방재난본부
동작소방서-동작_백운-119 안전센터,37.4948055,126.9615958,서울특별시,동작구,사당로 63 (상도동),서울소방재난본부
