lat_grid,lon_grid,산불건수,평균취약점수,중앙취약점수,평균임도거리_km,평균소방서거리_km,평균소방용수거리_km,평균경사도,평균고도_m
37.5,129.0,429,21.944041436304445,22.789964991483586,5.123407053373322,2.930681890763675,0.3535030186773859,5.950810753734027,87.17001246853147
37.5,130.5,4,55.01268451184782,54.7805047735785,141.44276736645855,7.699268337753599,1.1298716391934236,7.065587171875709,26.4899951
38.0,126.5,284,75.14857181761123,82.95206256239877,27.18333237597099,23.633813890024744,16.6656812481426,7.773566504394572,134.3743146725352
38.0,127.0,718,41.06845068693263,34.1703045642208,12.069588515118085,8.768204643376691,4.434866047830125,7.0651572677949295,276.08393044289693
38.0,127.5,413,41.21899357537054,32.42208376040107,8.930670024043831,14.335769320688078,4.753768515711923,11.203777424883924,352.8317608087167
38.0,128.0,265,26.339096596340962,24.096898860147192,4.265711737873935,8.105095056085704,1.8320227853289441,9.552764073189303,328.11491109698113
38.0,128.5,286,18.971221049992923,18.325353710319682,5.879184753510645,4.867531773589088,0.6481817031442673,4.23349974187959,53.35037383426573
38.5,126.5,233,93.48815682241984,93.8451905448326,68.90298656809871,67.7901745708155,58.166627350719025,14.99972902456595,401.53138096995707
38.5,127.0,373,93.83107456222604,94.00127098408794,62.02841352851133,54.95130093319211,46.06956812086751,13.940603513433437,570.5472932171582
38.5,127.5,20,93.10768567380181,93.05113582341554,55.487674066055135,45.140754965141156,39.66591297908646,9.601232079505492,622.999042
38.5,128.0,14,52.39248885162397,53.09456327420001,23.647311753682395,14.566547638996953,4.007895010907343,6.742577252886136,100.85742570714287
39.0,126.5,7,98.16779102780433,100.0,101.84228876808861,98.71277529531092,88.93384103333287,26.665373678165956,720.60628
39.0,127.0,23,95.42815535049259,95.98002616281262,117.19225056546384,95.07558956426259,87.22795024545967,16.6856676217422,663.6266386956521
