fire_id,위도,경도,진화접근취약점수,접근취약등급,임도거리_km,소방서거리_km,소방용수거리_km,산불소화시설거리_km,고도(m),경사도(도),TPI(지형위치지수),TWI(지형다습지수)
F_005563,38.67648344525488,127.0539764066909,99.22934432911197,매우 높음,59.255285521678715,58.81642996770831,46.39413667447373,46.52447966418977,889.39374,27.68803298733589,-0.27178955,
F_005152,38.43138994432851,126.80792640464873,99.2238663,매우 높음,43.97762685181688,43.96771448794234,36.65705589011676,46.383234718840235,422.38663,31.44172233887261,-5.066284,
F_005700,38.710329660151245,126.84016745101206,99.1481365189567,매우 높음,68.41253371248054,64.92322323187766,57.04458131764047,60.87704142443475,699.42426,27.44440955687009,-1.045227,
F_005248,38.76604394188468,126.94855654388996,99.11481865691111,매우 높음,70.9756779743512,72.41829324891455,58.57292454398252,59.887994864841694,734.71716,27.34445597073332,4.3965454,
F_005848,38.97658609803565,127.3253013136452,99.10448750596579,매우 높음,111.72026350174951,81.89447331466832,75.1356026248294,77.90677770298493,871.0736,27.313462517897385,-9.5224,
F_005165,38.79717035064584,126.75776199261792,99.1033975,매우 높음,80.2934581317366,86.20904176548099,69.1214117572815,72.97330474669693,410.33975,30.812072877509124,5.1612244,
F_005223,38.98612311436486,127.07366983928009,99.07202673885682,매우 높음,93.26862555385395,88.47906440131275,79.99414431364612,88.60135979628943,523.62274,27.21608021657047,-7.192627,
F_005313,38.73523379011733,126.81349848187782,99.07095839103738,매우 높음,71.92576390907391,68.52917381786892,60.64558761031865,64.52833988542757,682.3121,27.21287517311213,2.1520386,
F_006085,38.6181159496081,127.208829545619,99.05457973345388,매우 높음,52.26150293433615,46.1225246414728,37.3288372819313,48.95896509335653,500.43478,27.16373920036164,5.5132446,
F_005486,38.88578281737169,126.95935020491336,98.978099235562,매우 높음,83.69052427037398,82.94702983922235,71.01606202373625,85.8769013356949,812.1792,26.934297706686007,-9.493652,
F_005823,39.01867159974188,127.05010182303708,98.95694916775538,매우 높음,97.06020130616984,92.61995532442891,83.99538113167318,92.78639612623155,848.4615,26.87084750326615,0.5477905,
F_005990,38.88686663875129,126.9686621845639,98.94695435244313,매우 높음,83.63749403458678,82.62720743153228,70.92133349029127,85.41148174390396,769.7445,26.840863057329404,4.6867676,
F_006216,39.13172346386672,127.13379891882478,98.93514532299838,매우 높음,135.99078751369544,102.17122474138148,94.45750258443974,100.28891378444376,537.1223,26.80543596899516,4.58197,
F_006266,38.763964171259445,126.86912274129148,98.91669362939474,매우 높음,72.93746001272382,76.71995147656999,61.08296567207694,63.75758824219454,771.38586,26.75008088818423,-17.304688,
F_005538,38.94928856934785,127.31691704949613,98.88167609545137,매우 높음,109.9764605871464,78.97886633836362,72.18383583233845,75.28734855843099,1211.1753,26.64502828635412,-8.321411,
F_005363,38.78274448796108,126.86773039114668,98.80754757788715,매우 높음,74.93886637107406,78.38202574482423,63.023523657736455,65.49878806928268,801.4008,26.422642733661466,13.621521,
F_006244,38.89402358547417,126.88812235432178,98.79908826776472,매우 높음,86.13683064740012,87.14251405646888,73.79053127459588,90.91626922704485,672.8641,26.397264803294146,3.8272095,
F_006054,38.13336854674035,126.53902770446982,98.77012963376721,매우 높음,47.92488855260004,40.025677049255755,24.520970504881642,27.540259267534427,513.88025,31.11541265869765,6.373352,
F_005617,38.96896533629764,127.3591557387416,98.76689155881694,매우 높음,109.09188534867984,80.74201148552689,74.08713034948832,76.18332510598367,641.1345,26.30067467645081,5.3395996,
F_005691,38.98917232222895,127.09253273088528,98.6975592,매우 높음,93.48874342047549,88.19492860840472,79.85087987849971,88.00207563424229,369.75592,33.976360868556625,-9.692444,
F_005254,38.708275296662485,126.77429564683156,98.6608426,매우 높음,70.84329677334995,67.97131303641557,60.07399108513249,64.87566436652045,366.08426,31.55714496043295,4.658844,
F_005616,38.96597103475106,127.06092221995227,98.54573873724178,매우 높음,91.13451132407471,86.82981093083896,78.06128135521773,87.3423227698348,673.94543,25.637216211725352,-6.8286743,
F_006388,38.74393569818084,126.85121545069222,98.51882390061374,매우 높음,71.4511842897777,67.66642959710582,59.81916795514361,63.02405154859055,569.3959,25.55647170184124,-7.9555664,
F_005816,38.509130503368674,127.38115427832264,98.51399265877855,매우 높음,39.99452900544616,29.720226561720402,22.924394318525668,29.52464485877625,695.4069,26.81455756473046,-4.720825,
F_006006,38.852901850864825,126.81650935470572,98.49862537628306,매우 높음,83.85385016607289,87.3059132987576,72.03353383063059,74.4983813542867,654.1574,25.495876128849183,4.6505737,
